date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
2007-07-19,"17,284,009",4.780000000000001,4.303204897371265,17284009,4.780,4.30%,116.48,114.65,19 Jul 2007,USD,115.86,115.63,IBM
2007-07-18,"10,154,029",0.3100000000000023,0.27985916764467117,10154029,0.310,0.28%,111.88,110.04,18 Jul 2007,USD,111.08,110.38,IBM
2007-07-17,"7,619,829",1.1099999999999994,1.012219587816888,7619829,1.110,1.01%,111.47,109.45,17 Jul 2007,USD,110.77,109.43,IBM
2007-07-16,"8,866,296",1.0600000000000023,0.976058931860039,8866296,1.060,0.98%,110.04,108.42,16 Jul 2007,USD,109.66,108.31,IBM
2007-07-13,"7,124,067",-0.6800000000000068,-0.6222547584187471,7124067,-0.680,-0.62%,109.2,108.1,13 Jul 2007,USD,108.6,108.7,IBM
2007-07-12,"9,544,093",0.18000000000000682,0.1649862511457441,9544093,0.180,0.16%,109.65,108.22,12 Jul 2007,USD,109.28,109.3,IBM
2007-07-11,"5,889,600",0.46999999999999886,0.4326613274417738,5889600,0.470,0.43%,109.6,108.25,11 Jul 2007,USD,109.1,108.0,IBM
2007-07-10,"6,209,300",-0.3400000000000034,-0.3120124804992231,6209300,-0.340,-0.31%,109.15,108.25,10 Jul 2007,USD,108.63,108.55,IBM
2007-07-09,"6,046,268",-0.060000000000002274,-0.055030725488399775,6046268,-0.060,-0.06%,109.35,108.2,9 Jul 2007,USD,108.97,108.85,IBM
2007-07-06,"8,977,138",0.980000000000004,0.9069875057843628,8977138,0.980,0.91%,109.66,107.66,6 Jul 2007,USD,109.03,107.79,IBM
2007-07-05,"6,671,400",1.4699999999999989,1.3792456370801265,6671400,1.470,1.38%,108.39,105.98,5 Jul 2007,USD,108.05,106.45,IBM
2007-07-03,"4,220,100",1.5699999999999932,1.4950957051709295,4220100,1.570,1.50%,107.08,105.24,3 Jul 2007,USD,106.58,106.31,IBM
2007-07-02,"4,702,454",-0.23999999999999488,-0.22802850356294052,4702454,-0.240,-0.23%,105.8,104.58,2 Jul 2007,USD,105.01,105.25,IBM
2007-06-29,"7,018,355",-0.7000000000000028,-0.6606890042472892,7018355,-0.700,-0.66%,106.58,104.1,29 Jun 2007,USD,105.25,105.95,IBM
2007-06-28,"5,430,900",0.519999999999996,0.493218249075212,5430900,0.520,0.49%,106.92,105.22,28 Jun 2007,USD,105.95,105.52,IBM
2007-06-27,"5,403,900",0.10000000000000853,0.09493971328207398,5403900,0.100,0.09%,105.47,104.4,27 Jun 2007,USD,105.43,104.65,IBM
2007-06-26,"5,229,600",0.23000000000000398,0.21883920076118363,5229600,0.230,0.22%,106.06,104.82,26 Jun 2007,USD,105.33,105.1,IBM
2007-06-25,"8,477,800",0.6599999999999966,0.6319417847567949,8477800,0.660,0.63%,105.77,104.5,25 Jun 2007,USD,105.1,104.8,IBM
2007-06-22,"10,822,600",-2.1599999999999966,-2.0262664165103157,10822600,-2.160,-2.03%,106.44,104.44,22 Jun 2007,USD,104.44,105.96,IBM
2007-06-21,"5,587,800",0.5999999999999943,0.5660377358490513,5587800,0.600,0.57%,107.0,105.61,21 Jun 2007,USD,106.6,105.8,IBM
2007-06-20,"6,542,010",-0.5,-0.4694835680751174,6542010,-0.500,-0.47%,107.02,105.95,20 Jun 2007,USD,106.0,106.55,IBM
2007-06-19,"5,768,300",1.1700000000000017,1.1107946454001725,5768300,1.170,1.11%,106.66,104.9,19 Jun 2007,USD,106.5,104.9,IBM
2007-06-18,"6,373,424",0.23999999999999488,0.22837567799028916,6373424,0.240,0.23%,105.65,104.89,18 Jun 2007,USD,105.33,105.2,IBM
2007-06-15,"9,432,708",1.240000000000009,1.1940298507462774,9432708,1.240,1.19%,105.19,103.88,15 Jun 2007,USD,105.09,104.0,IBM
2007-06-14,"5,166,300",0.7299999999999898,0.7079131109387022,5166300,0.730,0.71%,104.24,102.81,14 Jun 2007,USD,103.85,103.1,IBM
2007-06-13,"6,438,338",0.7800000000000011,0.7621653312487797,6438338,0.780,0.76%,103.26,102.1,13 Jun 2007,USD,103.12,102.85,IBM
2007-06-12,"5,578,530",-0.8799999999999955,-0.8525479558225106,5578530,-0.880,-0.85%,103.18,102.15,12 Jun 2007,USD,102.34,102.68,IBM
2007-06-11,"7,903,004",0.15000000000000568,0.14553216260794188,7903004,0.150,0.15%,104.0,102.5,11 Jun 2007,USD,103.22,103.05,IBM
2007-06-08,"8,223,300",1.269999999999996,1.2475442043221965,8223300,1.270,1.25%,103.21,101.75,8 Jun 2007,USD,103.07,101.8,IBM
2007-06-07,"14,389,421",-0.6099999999999994,-0.5956449565472116,14389421,-0.610,-0.60%,103.17,101.56,7 Jun 2007,USD,101.8,102.55,IBM
2007-06-06,"30,774,276",-3.430000000000007,-3.240740740740747,30774276,-3.430,-3.24%,105.51,102.39,6 Jun 2007,USD,102.41,105.84,IBM
